original_index,track_index,identifier,filename,track_type,strand,strand_pair,ontology,gtex_tissue,source,transform_scale,transform_threshold,scale,apply_squashing,pre_transform_scale
0,0,CL:0000037 total RNA-seq,mouse-CL_0000037_total_RNA-seq-plus.gtrack,rna,+,71,CL:0000037,,encode,1.0,10.0,0.5,True,1.0
1,1,CL:0000038 total RNA-seq,mouse-CL_0000038_total_RNA-seq-plus.gtrack,rna,+,72,CL:0000038,,encode,1.0,10.0,0.5,True,1.0
2,2,CL:0000049 total RNA-seq,mouse-CL_0000049_total_RNA-seq-plus.gtrack,rna,+,73,CL:0000049,,encode,1.0,10.0,0.5,True,1.0
3,3,CL:0000050 polyA plus RNA-seq,mouse-CL_0000050_polyA_plus_RNA-seq-plus.gtrack,rna,+,74,CL:0000050,,encode,1.0,10.0,0.5,True,1.0
4,4,CL:0000050 total RNA-seq,mouse-CL_0000050_total_RNA-seq-plus.gtrack,rna,+,75,CL:0000050,,encode,1.0,10.0,0.5,True,1.0
5,5,CL:0000084 total RNA-seq,mouse-CL_0000084_total_RNA-seq-plus.gtrack,rna,+,76,CL:0000084,,encode,1.0,10.0,0.5,True,1.0
6,6,CL:0000235 polyA plus RNA-seq,mouse-CL_0000235_polyA_plus_RNA-seq-plus.gtrack,rna,+,77,CL:0000235,,encode,1.0,10.0,0.5,True,1.0
7,7,CL:0000235 total RNA-seq,mouse-CL_0000235_total_RNA-seq-plus.gtrack,rna,+,78,CL:0000235,,encode,1.0,10.0,0.5,True,1.0
8,8,CL:0000236 total RNA-seq,mouse-CL_0000236_total_RNA-seq-plus.gtrack,rna,+,79,CL:0000236,,encode,1.0,10.0,0.5,True,1.0
9,9,CL:0000553 total RNA-seq,mouse-CL_0000553_total_RNA-seq-plus.gtrack,rna,+,80,CL:0000553,,encode,1.0,10.0,0.5,True,1.0
10,10,CL:0000556 polyA plus RNA-seq,mouse-CL_0000556_polyA_plus_RNA-seq-plus.gtrack,rna,+,81,CL:0000556,,encode,1.0,10.0,0.5,True,1.0
11,11,CL:0000556 total RNA-seq,mouse-CL_0000556_total_RNA-seq-plus.gtrack,rna,+,82,CL:0000556,,encode,1.0,10.0,0.5,True,1.0
12,12,CL:0000557 total RNA-seq,mouse-CL_0000557_total_RNA-seq-plus.gtrack,rna,+,83,CL:0000557,,encode,1.0,10.0,0.5,True,1.0
13,13,CL:0000576 total RNA-seq,mouse-CL_0000576_total_RNA-seq-plus.gtrack,rna,+,84,CL:0000576,,encode,1.0,10.0,0.5,True,1.0
14,14,CL:0000765 polyA plus RNA-seq,mouse-CL_0000765_polyA_plus_RNA-seq-plus.gtrack,rna,+,85,CL:0000765,,encode,1.0,10.0,0.5,True,1.0
15,15,CL:0000765 total RNA-seq,mouse-CL_0000765_total_RNA-seq-plus.gtrack,rna,+,86,CL:0000765,,encode,1.0,10.0,0.5,True,1.0
16,16,CL:0000775 total RNA-seq,mouse-CL_0000775_total_RNA-seq-plus.gtrack,rna,+,87,CL:0000775,,encode,1.0,10.0,0.5,True,1.0
17,17,CL:0000837 polyA plus RNA-seq,mouse-CL_0000837_polyA_plus_RNA-seq-plus.gtrack,rna,+,88,CL:0000837,,encode,1.0,10.0,0.5,True,1.0
18,18,CL:0002476 polyA plus RNA-seq,mouse-CL_0002476_polyA_plus_RNA-seq-plus.gtrack,rna,+,89,CL:0002476,,encode,1.0,10.0,0.5,True,1.0
19,19,CL:2000042 polyA plus RNA-seq,mouse-CL_2000042_polyA_plus_RNA-seq-plus.gtrack,rna,+,90,CL:2000042,,encode,1.0,10.0,0.5,True,1.0
20,20,EFO:0002034 polyA plus RNA-seq,mouse-EFO_0002034_polyA_plus_RNA-seq-plus.gtrack,rna,+,91,EFO:0002034,,encode,1.0,10.0,0.5,True,1.0
21,21,EFO:0002034 total RNA-seq,mouse-EFO_0002034_total_RNA-seq-plus.gtrack,rna,+,92,EFO:0002034,,encode,1.0,10.0,0.5,True,1.0
22,22,EFO:0002055 polyA plus RNA-seq,mouse-EFO_0002055_polyA_plus_RNA-seq-plus.gtrack,rna,+,93,EFO:0002055,,encode,1.0,10.0,0.5,True,1.0
23,23,EFO:0003971 polyA plus RNA-seq,mouse-EFO_0003971_polyA_plus_RNA-seq-plus.gtrack,rna,+,94,EFO:0003971,,encode,1.0,10.0,0.5,True,1.0
24,24,EFO:0003971 total RNA-seq,mouse-EFO_0003971_total_RNA-seq-plus.gtrack,rna,+,95,EFO:0003971,,encode,1.0,10.0,0.5,True,1.0
25,25,EFO:0005233 total RNA-seq,mouse-EFO_0005233_total_RNA-seq-plus.gtrack,rna,+,96,EFO:0005233,,encode,1.0,10.0,0.5,True,1.0
26,26,EFO:0005483 polyA plus RNA-seq,mouse-EFO_0005483_polyA_plus_RNA-seq-plus.gtrack,rna,+,97,EFO:0005483,,encode,1.0,10.0,0.5,True,1.0
27,27,EFO:0007075 total RNA-seq,mouse-EFO_0007075_total_RNA-seq-plus.gtrack,rna,+,98,EFO:0007075,,encode,1.0,10.0,0.5,True,1.0
28,28,NTR:0000496 total RNA-seq,mouse-NTR_0000496_total_RNA-seq-plus.gtrack,rna,+,99,NTR:0000496,,encode,1.0,10.0,0.5,True,1.0
29,29,NTR:0000501 total RNA-seq,mouse-NTR_0000501_total_RNA-seq-plus.gtrack,rna,+,100,NTR:0000501,,encode,1.0,10.0,0.5,True,1.0
30,30,NTR:0000646 total RNA-seq,mouse-NTR_0000646_total_RNA-seq-plus.gtrack,rna,+,101,NTR:0000646,,encode,1.0,10.0,0.5,True,1.0
31,31,NTR:0000714 polyA plus RNA-seq,mouse-NTR_0000714_polyA_plus_RNA-seq-plus.gtrack,rna,+,102,NTR:0000714,,encode,1.0,10.0,0.5,True,1.0
32,32,UBERON:0000059 polyA plus RNA-seq,mouse-UBERON_0000059_polyA_plus_RNA-seq-plus.gtrack,rna,+,103,UBERON:0000059,,encode,1.0,10.0,0.5,True,1.0
33,33,UBERON:0000473 polyA plus RNA-seq,mouse-UBERON_0000473_polyA_plus_RNA-seq-plus.gtrack,rna,+,104,UBERON:0000473,,encode,1.0,10.0,0.5,True,1.0
34,34,UBERON:0000945 polyA plus RNA-seq,mouse-UBERON_0000945_polyA_plus_RNA-seq-plus.gtrack,rna,+,105,UBERON:0000945,,encode,1.0,10.0,0.5,True,1.0
35,35,UBERON:0000948 polyA plus RNA-seq,mouse-UBERON_0000948_polyA_plus_RNA-seq-plus.gtrack,rna,+,106,UBERON:0000948,,encode,1.0,10.0,0.5,True,1.0
36,36,UBERON:0000948 total RNA-seq,mouse-UBERON_0000948_total_RNA-seq-plus.gtrack,rna,+,107,UBERON:0000948,,encode,1.0,10.0,0.5,True,1.0
37,37,UBERON:0000955 polyA plus RNA-seq,mouse-UBERON_0000955_polyA_plus_RNA-seq-plus.gtrack,rna,+,108,UBERON:0000955,,encode,1.0,10.0,0.5,True,1.0
38,38,UBERON:0000992 polyA plus RNA-seq,mouse-UBERON_0000992_polyA_plus_RNA-seq-plus.gtrack,rna,+,109,UBERON:0000992,,encode,1.0,10.0,0.5,True,1.0
39,39,UBERON:0001013 polyA plus RNA-seq,mouse-UBERON_0001013_polyA_plus_RNA-seq-plus.gtrack,rna,+,110,UBERON:0001013,,encode,1.0,10.0,0.5,True,1.0
40,40,UBERON:0001017 polyA plus RNA-seq,mouse-UBERON_0001017_polyA_plus_RNA-seq-plus.gtrack,rna,+,111,UBERON:0001017,,encode,1.0,10.0,0.5,True,1.0
41,41,UBERON:0001155 polyA plus RNA-seq,mouse-UBERON_0001155_polyA_plus_RNA-seq-plus.gtrack,rna,+,112,UBERON:0001155,,encode,1.0,10.0,0.5,True,1.0
42,42,UBERON:0001159 polyA plus RNA-seq,mouse-UBERON_0001159_polyA_plus_RNA-seq-plus.gtrack,rna,+,113,UBERON:0001159,,encode,1.0,10.0,0.5,True,1.0
43,43,UBERON:0001255 polyA plus RNA-seq,mouse-UBERON_0001255_polyA_plus_RNA-seq-plus.gtrack,rna,+,114,UBERON:0001255,,encode,1.0,10.0,0.5,True,1.0
44,44,UBERON:0001264 polyA plus RNA-seq,mouse-UBERON_0001264_polyA_plus_RNA-seq-plus.gtrack,rna,+,115,UBERON:0001264,,encode,1.0,10.0,0.5,True,1.0
45,45,UBERON:0001348 polyA plus RNA-seq,mouse-UBERON_0001348_polyA_plus_RNA-seq-plus.gtrack,rna,+,116,UBERON:0001348,,encode,1.0,10.0,0.5,True,1.0
46,46,UBERON:0001388 total RNA-seq,mouse-UBERON_0001388_total_RNA-seq-plus.gtrack,rna,+,117,UBERON:0001388,,encode,1.0,10.0,0.5,True,1.0
47,47,UBERON:0001870 polyA plus RNA-seq,mouse-UBERON_0001870_polyA_plus_RNA-seq-plus.gtrack,rna,+,118,UBERON:0001870,,encode,1.0,10.0,0.5,True,1.0
48,48,UBERON:0001890 total RNA-seq,mouse-UBERON_0001890_total_RNA-seq-plus.gtrack,rna,+,119,UBERON:0001890,,encode,1.0,10.0,0.5,True,1.0
49,49,UBERON:0001891 total RNA-seq,mouse-UBERON_0001891_total_RNA-seq-plus.gtrack,rna,+,120,UBERON:0001891,,encode,1.0,10.0,0.5,True,1.0
50,50,UBERON:0001911 polyA plus RNA-seq,mouse-UBERON_0001911_polyA_plus_RNA-seq-plus.gtrack,rna,+,121,UBERON:0001911,,encode,1.0,10.0,0.5,True,1.0
51,51,UBERON:0001987 polyA plus RNA-seq,mouse-UBERON_0001987_polyA_plus_RNA-seq-plus.gtrack,rna,+,122,UBERON:0001987,,encode,1.0,10.0,0.5,True,1.0
52,52,UBERON:0002028 total RNA-seq,mouse-UBERON_0002028_total_RNA-seq-plus.gtrack,rna,+,123,UBERON:0002028,,encode,1.0,10.0,0.5,True,1.0
53,53,UBERON:0002037 polyA plus RNA-seq,mouse-UBERON_0002037_polyA_plus_RNA-seq-plus.gtrack,rna,+,124,UBERON:0002037,,encode,1.0,10.0,0.5,True,1.0
54,54,UBERON:0002048 polyA plus RNA-seq,mouse-UBERON_0002048_polyA_plus_RNA-seq-plus.gtrack,rna,+,125,UBERON:0002048,,encode,1.0,10.0,0.5,True,1.0
55,55,UBERON:0002101 polyA plus RNA-seq,mouse-UBERON_0002101_polyA_plus_RNA-seq-plus.gtrack,rna,+,126,UBERON:0002101,,encode,1.0,10.0,0.5,True,1.0
56,56,UBERON:0002106 polyA plus RNA-seq,mouse-UBERON_0002106_polyA_plus_RNA-seq-plus.gtrack,rna,+,127,UBERON:0002106,,encode,1.0,10.0,0.5,True,1.0
57,57,UBERON:0002107 polyA plus RNA-seq,mouse-UBERON_0002107_polyA_plus_RNA-seq-plus.gtrack,rna,+,128,UBERON:0002107,,encode,1.0,10.0,0.5,True,1.0
58,58,UBERON:0002107 total RNA-seq,mouse-UBERON_0002107_total_RNA-seq-plus.gtrack,rna,+,129,UBERON:0002107,,encode,1.0,10.0,0.5,True,1.0
59,59,UBERON:0002108 polyA plus RNA-seq,mouse-UBERON_0002108_polyA_plus_RNA-seq-plus.gtrack,rna,+,130,UBERON:0002108,,encode,1.0,10.0,0.5,True,1.0
